course name,course title,course time,course link
COMP_SCI 409,Swarms and Multi-Robot Systems,2-3:20 TuThRubenstein,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/409.html
COMP_SCI 410,Quadrotor Design and Control,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/410.html
COMP_SCI 440,Advanced Networking,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/440.html
COMP_SCI 445,Internet-scale Experimentation,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/445.html
COMP_SCI 446,Kernel and Other Low-level Software Development,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/446.html
COMP_SCI 449,Deep Learning,9:30-10:50 TuThWood-Doughty,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/449.html
COMP_SCI 450,Internet Security,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/450.html
COMP_ENG 452,Advanced Computer Architecture I,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/452.html
COMP_ENG 453,Parallel Architectures,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/453.html
COMP_ENG 456,Modern Topics in Computer Architecture,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/456.html
COMP_ENG 459,VLSI Algorithmics,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/459.html
COMP_SCI 469,Machine Learning and Artificial Intelligence for Robotics,12:30-1:50 TuThArgall,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/469.html
COMP_SCI 474,Probabilistic Graphical Models,3:30-4:50 TThWood-Doughty,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/474.html
COMP_SCI 496,The Design of Technological Tools for Thinking and Learning,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-7.html
COMP_SCI 496,Advanced Topics on Deep Learning,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-8.html
COMP_SCI 496,Special Topics In Data Systems Seminar,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-15.html
COMP_SCI 496,Engineering Modern Cryptographic Protocols,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-20.html
COMP_SCI 496,Qualitative Reasoning Seminar,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-21.html
COMP_SCI 496,AI Perspectives: Symbolic Reasoning to Deep Learning,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-23.html
COMP_SCI 496,Visualization for Scientific Communication,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-24.html
COMP_SCI 496,Generative Deep Models,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-25.html
COMP_SCI 496,Foundations of Reliable Machine Learning,9:30-12:20 TVijayaraghavan,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-26.html
COMP_SCI 496,Advanced System Security,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-29.html
COMP_SCI 496,Logic In AI,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-30.html
COMP_SCI 496,Computational Optics,9:30-10:50 TuThAlexander,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-31.html
COMP_SCI 496,Modern Discrete Probability,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-32.html
COMP_SCI 496,Mathematical and Computational Foundations of Tensors and Applications,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-33.html
COMP_SCI 496,Randomized Algorithms in Linear Algebra and Scientific Computing,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-35.html
COMP_SCI 496,Learning in Networks,11-12:20 MWRacz,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-36.html
